"vendor_id"	"vendor"	"product_id"	"product"	"version_id"	"full_cpe_str"	"version_title"	"assigner"	"assignerSourceName"	"cveNumber"	"cveId"	"cveYear"	"publishDate"	"updateDate"	"exploitExists"	"exploitExistenceChangeDate"	"isInCISAKEV"	"assignerId"	"nvdVulnStatus"	"summary"	"evaluatorComment"	"evaluatorSolution"	"evaluatorImpact"	"cisaExploitAdd"	"cisaActionDue"	"cisaVulnerabilityName"	"cisaRequiredAction"	"cisaShortDescription"	"cisaNotes"	"epssScore"	"epssScoreChangeDate"	"epssPercentile"	"configCount"	"configConditionCount"	"vendorCommentCount"	"referenceCount"	"metricCount"	"weaknessCount"	"maxCvssBaseScore"	"maxCvssBaseScorev2"	"maxCvssBaseScorev3"	"maxCvssBaseScorev4"	"maxCvssBaseScoreChangeDate"	"maxCvssExploitabilityScore"	"maxCvssImpactScore"	"isOverflow"	"isMemoryCorruption"	"isSqlInjection"	"isXss"	"isDirectoryTraversal"	"isFileInclusion"	"isCsrf"	"isXxe"	"isSsrf"	"isOpenRedirect"	"isInputValidation"	"isCodeExecution"	"isBypassSomething"	"isGainPrivilege"	"isDenialOfService"	"isInformationLeak"	"isUsedForRansomware"	
6	Freebsd	7	Freebsd	997690	cpe:2.3:o:freebsd:freebsd:9.3:p53:*:*:*:*:*:*	FreeBSD 9.3 Patch 53	secteam@freebsd.org	FreeBSD	202400007589	CVE-2024-7589	2024	2024-08-11 03:15:52	2024-08-13 16:58:09				28	Analyzed	A signal handler in sshd(8) may call a logging function that is not async-signal-safe.  The signal handler is invoked when a client does not authenticate within the LoginGraceTime seconds (120 by default).  This signal handler executes in the context of the sshd(8)'s privileged code, which is not sandboxed and runs with full root privileges.\n\nThis issue is another instance of the problem in CVE-2024-6387 addressed by FreeBSD-SA-24:04.openssh.  The faulty code in this case is from the integration of blacklistd in OpenSSH in FreeBSD.\n\nAs a result of calling functions that are not async-signal-safe in the privileged sshd(8) context, a race condition exists that a determined attacker may be able to exploit to allow an unauthenticated remote code execution as root.										0.00063	2024-08-14 23:08:19	0.28019	1			3	2	2	8.1		8.1		2024-08-12 16:59:56	2.2	5.9												1						
6	Freebsd	7	Freebsd	997690	cpe:2.3:o:freebsd:freebsd:9.3:p53:*:*:*:*:*:*	FreeBSD 9.3 Patch 53	secteam@freebsd.org	FreeBSD	202400006760	CVE-2024-6760	2024	2024-08-11 02:40:04	2024-10-29 20:35:40				28	Modified	A logic bug in the code which disables kernel tracing for setuid programs meant that tracing was not disabled when it should have, allowing unprivileged users to trace and inspect the behavior of setuid programs.\n\nThe bug may be used by an unprivileged user to read the contents of files to which they would not otherwise have access, such as the local password database.										0.00087	2024-08-14 23:08:18	0.37673	1			1	2	1	7.5		7.5		2024-08-13 16:06:37	3.9	3.6																		
6	Freebsd	7	Freebsd	997690	cpe:2.3:o:freebsd:freebsd:9.3:p53:*:*:*:*:*:*	FreeBSD 9.3 Patch 53	secteam@freebsd.org	FreeBSD	202400006759	CVE-2024-6759	2024	2024-08-11 02:45:15	2024-08-13 15:08:28				28	Analyzed	When mounting a remote filesystem using NFS, the kernel did not sanitize remotely provided filenames for the path separator character, \"/\".  This allows readdir(3) and related functions to return filesystem entries with names containing additional path components.\n\nThe lack of validation described above gives rise to a confused deputy problem.  For example, a program copying files from an NFS mount could be tricked into copying from outside the intended source directory, and/or to a location outside the intended destination directory.										0.00047	2024-08-14 23:08:18	0.18317	1			1	2	2	5.3		5.3		2024-08-12 15:59:53	3.9	1.4																		
6	Freebsd	7	Freebsd	997690	cpe:2.3:o:freebsd:freebsd:9.3:p53:*:*:*:*:*:*	FreeBSD 9.3 Patch 53	cve@mitre.org	MITRE	202300051765	CVE-2023-51765	2023	2023-12-24 06:15:08	2024-06-15 09:15:11				1	Modified	sendmail through 8.17.2 allows SMTP smuggling in certain configurations. Remote attackers can use a published exploitation technique to inject e-mail messages with a spoofed MAIL FROM address, allowing bypass of an SPF protection mechanism. This occurs because sendmail supports <LF>.<CR><LF> but some other popular e-mail servers do not. This is resolved in 8.18 and later versions with 'o' in srv_features.										0.00210	2024-11-23 23:06:47	0.59683	3			17	1	1	5.3		5.3		2024-01-05 16:01:38	3.9	1.4																		
6	Freebsd	7	Freebsd	997690	cpe:2.3:o:freebsd:freebsd:9.3:p53:*:*:*:*:*:*	FreeBSD 9.3 Patch 53	cve@mitre.org	MITRE	202300048795	CVE-2023-48795	2023	2023-12-18 16:15:11	2024-12-02 14:54:27				1	Analyzed	The SSH transport protocol with certain OpenSSH extensions, found in OpenSSH before 9.6 and other products, allows remote attackers to bypass integrity checks such that some packets are omitted (from the extension negotiation message), and a client and server may consequently end up with a connection for which some security features have been downgraded or disabled, aka a Terrapin attack. This occurs because the SSH Binary Packet Protocol (BPP), implemented by these extensions, mishandles the handshake phase and mishandles use of sequence numbers. For example, there is an effective attack against SSH's use of ChaCha20-Poly1305 (and CBC with Encrypt-then-MAC). The bypass occurs in chacha20-poly1305@openssh.com and (if CBC is used) the -etm@openssh.com MAC algorithms. This also affects Maverick Synergy Java SSH API before 3.1.0-SNAPSHOT, Dropbear through 2022.83, Ssh before 5.1.1 in Erlang/OTP, PuTTY before 0.80, AsyncSSH before 2.14.2, golang.org/x/crypto before 0.17.0, libssh before 0.10.6, libssh2 through 1.11.0, Thorn Tech SFTP Gateway before 3.4.6, Tera Term before 5.1, Paramiko before 3.4.0, jsch before 0.2.15, SFTPGo before 2.5.6, Netgate pfSense Plus through 23.09.1, Netgate pfSense CE through 2.7.2, HPN-SSH through 18.2.0, ProFTPD before 1.3.8b (and before 1.3.9rc2), ORYX CycloneSSH before 2.3.4, NetSarang XShell 7 before Build 0144, CrushFTP before 10.6.0, ConnectBot SSH library before 2.2.22, Apache MINA sshd through 2.11.0, sshj through 0.37.0, TinySSH through 20230101, trilead-ssh2 6401, LANCOM LCOS and LANconfig, FileZilla before 3.66.4, Nova before 11.8, PKIX-SSH before 14.4, SecureCRT before 9.4.3, Transmit5 before 5.10.4, Win32-OpenSSH before 9.5.0.0p1-Beta, WinSCP before 6.2.2, Bitvise SSH Server before 9.32, Bitvise SSH Client before 9.33, KiTTY through 0.76.1.13, the net-ssh gem 7.2.0 for Ruby, the mscdex ssh2 module before 1.15.0 for Node.js, the thrussh library before 0.35.1 for Rust, and the Russh crate before 0.40.2 for Rust.										0.96280	2024-11-29 23:59:02	0.99595	70	6		236	1	1	5.9		5.9		2023-12-28 18:34:15	2.2	3.6																		
6	Freebsd	7	Freebsd	997690	cpe:2.3:o:freebsd:freebsd:9.3:p53:*:*:*:*:*:*	FreeBSD 9.3 Patch 53	secteam@freebsd.org	FreeBSD	202300005941	CVE-2023-5941	2023	2023-11-08 09:15:08	2023-12-14 10:15:09				28	Modified	In versions of FreeBSD 12.4-RELEASE prior to 12.4-RELEASE-p7 and FreeBSD 13.2-RELEASE prior to 13.2-RELEASE-p5 the __sflush() stdio function in libc does not correctly update FILE objects' write space members for write-buffered streams when the write(2) system call returns an error.  Depending on the nature of an application that calls libc's stdio functions and the presence of errors returned from the write(2) system call (or an overridden stdio write routine) a heap buffer overflow may occur.  Such overflows may lead to data corruption or the execution of arbitrary code at the privilege level of the calling program.										0.00292	2024-12-10 16:50:22	0.69936	1			2	1	2	9.8		9.8		2023-11-16 16:11:22	3.9	5.9	1	1																
6	Freebsd	7	Freebsd	997690	cpe:2.3:o:freebsd:freebsd:9.3:p53:*:*:*:*:*:*	FreeBSD 9.3 Patch 53	secteam@freebsd.org	FreeBSD	202300005368	CVE-2023-5368	2023	2023-10-04 04:15:14	2023-11-29 21:15:08				28	Modified	On an msdosfs filesystem, the 'truncate' or 'ftruncate' system calls under certain circumstances populate the additional space in the file with unallocated data from the underlying disk device, rather than zero bytes.\n\nThis may permit a user with write access to files on a msdosfs filesystem to read unintended data (e.g. from a previously deleted file).										0.00090	2024-10-10 23:41:38	0.39255	1			3	1	2	6.5		6.5		2023-10-05 19:12:33	2.8	3.6																		
6	Freebsd	7	Freebsd	997690	cpe:2.3:o:freebsd:freebsd:9.3:p53:*:*:*:*:*:*	FreeBSD 9.3 Patch 53	secteam@freebsd.org	FreeBSD	202300004809	CVE-2023-4809	2023	2023-09-06 20:15:08	2023-12-21 22:15:15				28	Modified	In pf packet processing with a 'scrub fragment reassemble' rule, a packet containing multiple IPv6 fragment headers would be reassembled, and then immediately processed.  That is, a packet with multiple fragment extension headers would not be recognized as the correct ultimate payload. Instead a packet with multiple IPv6 fragment headers would unexpectedly be interpreted as a fragmented packet, rather than as whatever the real payload is.\n\n\n\n\nAs a result, IPv6 fragments may bypass pf firewall rules written on the assumption all fragments have been reassembled and, as a result, be forwarded or processed by the host.										0.00079	2024-09-12 23:31:04	0.34803	1			5	1	1	7.5		7.5		2023-12-21 23:03:58	3.9	3.6																		
6	Freebsd	7	Freebsd	997690	cpe:2.3:o:freebsd:freebsd:9.3:p53:*:*:*:*:*:*	FreeBSD 9.3 Patch 53	secteam@freebsd.org	FreeBSD	202300003326	CVE-2023-3326	2023	2023-06-22 17:15:45	2023-08-01 23:15:31				28	Modified	pam_krb5 authenticates a user by essentially running kinit with the password, getting a ticket-granting ticket (tgt) from the Kerberos KDC (Key Distribution Center) over the network, as a way to verify the password. However, if a keytab is not provisioned on the system, pam_krb5 has no way to validate the response from the KDC, and essentially trusts the tgt provided over the network as being valid. In a non-default FreeBSD installation that leverages pam_krb5 for authentication and does not have a keytab provisioned, an attacker that is able to control both the password and the KDC responses can return a valid tgt, allowing authentication to occur for any user on the system.										0.00229	2024-12-02 23:18:55	0.61806	1			3	1	2	9.8		9.8			3.9	5.9													1	1				
6	Freebsd	7	Freebsd	997690	cpe:2.3:o:freebsd:freebsd:9.3:p53:*:*:*:*:*:*	FreeBSD 9.3 Patch 53	secteam@freebsd.org	FreeBSD	202100029626	CVE-2021-29626	2021	2021-04-07 15:15:14	2022-05-27 13:22:43				28	Analyzed	In FreeBSD 13.0-STABLE before n245117, 12.2-STABLE before r369551, 11.4-STABLE before r369559, 13.0-RC5 before p1, 12.2-RELEASE before p6, and 11.4-RELEASE before p9, copy-on-write logic failed to invalidate shared memory page mappings between multiple processes allowing an unprivileged process to maintain a mapping after it is freed, allowing the process to read private data belonging to other processes or the kernel.										0.00042		0.05721	1			2	2	1	5.5	2.1	5.5			3.9	3.6																		
6	Freebsd	7	Freebsd	997690	cpe:2.3:o:freebsd:freebsd:9.3:p53:*:*:*:*:*:*	FreeBSD 9.3 Patch 53	secteam@freebsd.org	FreeBSD	202000025584	CVE-2020-25584	2020	2021-04-07 15:15:13	2021-06-03 19:10:34				28	Analyzed	In FreeBSD 13.0-STABLE before n245118, 12.2-STABLE before r369552, 11.4-STABLE before r369560, 13.0-RC5 before p1, 12.2-RELEASE before p6, and 11.4-RELEASE before p9, a superuser inside a FreeBSD jail configured with the non-default allow.mount permission could cause a race condition between the lookup of \"..\" and remounting a filesystem, allowing access to filesystem hierarchy outside of the jail.										0.00044		0.10377	1			2	2	1	7.5	6.2	7.5			1.9	10.0																		
6	Freebsd	7	Freebsd	997690	cpe:2.3:o:freebsd:freebsd:9.3:p53:*:*:*:*:*:*	FreeBSD 9.3 Patch 53	cve@mitre.org	MITRE	202000024863	CVE-2020-24863	2020	2020-09-03 15:15:12	2020-09-11 14:03:48				1	Analyzed	A memory corruption vulnerability was found in the kernel function kern_getfsstat in MidnightBSD before 1.2.7 and 1.3 through 2020-08-19, and FreeBSD through 11.4, that allows an attacker to trigger an invalid free and crash the system via a crafted size value in conjunction with an invalid mode.										0.00072		0.29645	2			4	2	1	5.5	4.9	5.5			3.9	6.9		1																
6	Freebsd	7	Freebsd	997690	cpe:2.3:o:freebsd:freebsd:9.3:p53:*:*:*:*:*:*	FreeBSD 9.3 Patch 53	cve@mitre.org	MITRE	202000024718	CVE-2020-24718	2020	2020-09-25 04:23:05	2022-01-01 18:39:12				1	Analyzed	bhyve, as used in FreeBSD through 12.1 and illumos (e.g., OmniOS CE through r151034 and OpenIndiana through Hipster 2020.04), does not properly restrict VMCS and VMCB read/write operations, as demonstrated by a root user in a container on an Intel system, who can gain privileges by modifying VMCS_HOST_RIP.										0.00091		0.37815	4			3	2	1	8.2	7.2	8.2			3.9	10.0																		
6	Freebsd	7	Freebsd	997690	cpe:2.3:o:freebsd:freebsd:9.3:p53:*:*:*:*:*:*	FreeBSD 9.3 Patch 53	cve@mitre.org	MITRE	202000010566	CVE-2020-10566	2020	2020-03-14 01:15:13	2020-03-19 16:02:36				1	Analyzed	grub2-bhyve, as used in FreeBSD bhyve before revision 525916 2020-02-12, mishandles font loading by a guest through a grub2.cfg file, leading to a buffer overflow.										0.00044		0.10377	1			1	2	1	7.8	4.6	7.8			3.9	6.4	1																	
6	Freebsd	7	Freebsd	997690	cpe:2.3:o:freebsd:freebsd:9.3:p53:*:*:*:*:*:*	FreeBSD 9.3 Patch 53	cve@mitre.org	MITRE	202000010565	CVE-2020-10565	2020	2020-03-14 01:15:12	2021-07-21 11:39:24				1	Analyzed	grub2-bhyve, as used in FreeBSD bhyve before revision 525916 2020-02-12, does not validate the address provided as part of a memrw command (read_* or write_*) by a guest through a grub2.cfg file. This allows an untrusted guest to perform arbitrary read or write operations in the context of the grub-bhyve process, resulting in code execution as root on the host OS.										0.00044		0.10377	1			1	2	1	7.8	7.2	7.8			3.9	10.0	1																	
