"vendor_id"	"vendor"	"product_id"	"product"	"version_id"	"full_cpe_str"	"version_title"	"assigner"	"assignerSourceName"	"cveNumber"	"cveId"	"cveYear"	"publishDate"	"updateDate"	"exploitExists"	"exploitExistenceChangeDate"	"isInCISAKEV"	"assignerId"	"nvdVulnStatus"	"summary"	"evaluatorComment"	"evaluatorSolution"	"evaluatorImpact"	"cisaExploitAdd"	"cisaActionDue"	"cisaVulnerabilityName"	"cisaRequiredAction"	"cisaShortDescription"	"cisaNotes"	"epssScore"	"epssScoreChangeDate"	"epssPercentile"	"configCount"	"configConditionCount"	"vendorCommentCount"	"referenceCount"	"metricCount"	"weaknessCount"	"maxCvssBaseScore"	"maxCvssBaseScorev2"	"maxCvssBaseScorev3"	"maxCvssBaseScorev4"	"maxCvssBaseScoreChangeDate"	"maxCvssExploitabilityScore"	"maxCvssImpactScore"	"isOverflow"	"isMemoryCorruption"	"isSqlInjection"	"isXss"	"isDirectoryTraversal"	"isFileInclusion"	"isCsrf"	"isXxe"	"isSsrf"	"isOpenRedirect"	"isInputValidation"	"isCodeExecution"	"isBypassSomething"	"isGainPrivilege"	"isDenialOfService"	"isInformationLeak"	"isUsedForRansomware"	
1224	Google	19997	Android	1771432	cpe:2.3:o:google:android:14:*:*:*:*:*:*:*		dsap-vuln-management@google.com	Google Devices	202400047022	CVE-2024-47022	2024	2024-10-25 10:34:06	2024-10-28 21:35:18				276	Modified	Android before 2024-10-05 on Google Pixel devices allows information disclosure in the ACPM component, A-331255656.										0.00059	2024-10-29 22:44:18	0.26170	1	2		1	2		7.5		7.5		2024-10-28 13:58:14	3.9	3.6																1		
1224	Google	19997	Android	1771432	cpe:2.3:o:google:android:14:*:*:*:*:*:*:*		dsap-vuln-management@google.com	Google Devices	202400047020	CVE-2024-47020	2024	2024-10-25 10:34:05	2024-10-28 21:35:17				276	Modified	Android before 2024-10-05 on Google Pixel devices allows information disclosure in the ABL component, A-331966488.										0.00059	2024-10-29 22:44:18	0.26170	1	2		1	2		7.5		7.5		2024-10-28 13:58:13	3.9	3.6																1		
1224	Google	19997	Android	1771432	cpe:2.3:o:google:android:14:*:*:*:*:*:*:*		dsap-vuln-management@google.com	Google Devices	202400044100	CVE-2024-44100	2024	2024-10-25 10:34:04	2024-10-28 13:50:51				276	Analyzed	Android before 2024-10-05 on Google Pixel devices allows information disclosure in the modem component, A-299774545.										0.00059	2024-10-29 22:44:17	0.26174	1	2		1	2	1	7.5		7.5		2024-10-26 00:30:32	3.9	3.6																1		
1224	Google	19997	Android	1771432	cpe:2.3:o:google:android:14:*:*:*:*:*:*:*		security@android.com	Android (associated with Google Inc. or Open Handset Alliance)	202400043091	CVE-2024-43091	2024	2024-11-13 17:25:14	2024-12-04 15:15:11				67	Awaiting Analysis	In filterMask of SkEmbossMaskFilter.cpp, there is a possible out of bounds write due to an integer overflow. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation.										0.00043	2024-11-14 23:48:16	0.10146	1			2	1	1	9.8		9.8		2024-12-04 15:49:32	3.9	5.9	1											1						
1224	Google	19997	Android	1771432	cpe:2.3:o:google:android:14:*:*:*:*:*:*:*		security@android.com	Android (associated with Google Inc. or Open Handset Alliance)	202400043090	CVE-2024-43090	2024	2024-11-13 17:25:14	2024-11-15 14:00:10				67	Awaiting Analysis	In multiple locations, there is a possible cross-user image read due to a missing permission check. This could lead to local information disclosure with User execution privileges needed. User interaction is needed for exploitation.										0.00043	2024-11-14 23:48:16	0.10146	1			2	1	1	5.0		5.0		2024-11-13 22:40:03	1.3	3.6																1		
1224	Google	19997	Android	1771432	cpe:2.3:o:google:android:14:*:*:*:*:*:*:*		security@android.com	Android (associated with Google Inc. or Open Handset Alliance)	202400043089	CVE-2024-43089	2024	2024-11-13 17:25:14	2024-11-15 14:00:10				67	Awaiting Analysis	In updateInternal of MediaProvider.java , there is a possible access of another app's files due to a missing permission check. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.										0.00043	2024-11-14 23:48:16	0.10146	1			2	1	1	7.8		7.8		2024-11-14 16:49:18	1.8	5.9																		
1224	Google	19997	Android	1771432	cpe:2.3:o:google:android:14:*:*:*:*:*:*:*		security@android.com	Android (associated with Google Inc. or Open Handset Alliance)	202400043088	CVE-2024-43088	2024	2024-11-13 17:25:14	2024-11-15 14:00:10				67	Awaiting Analysis	In multiple functions in AppInfoBase.java, there is a possible way to manipulate app permission settings belonging to another user on the device due to a missing permission check. This could lead to local escalation of privilege across user boundaries with no additional execution privileges needed. User interaction is not needed for exploitation.										0.00043	2024-11-14 23:48:16	0.10146	1			2	1	1	8.4		8.4		2024-11-14 19:50:05	2.5	5.9																		
1224	Google	19997	Android	1771432	cpe:2.3:o:google:android:14:*:*:*:*:*:*:*		security@android.com	Android (associated with Google Inc. or Open Handset Alliance)	202400043087	CVE-2024-43087	2024	2024-11-13 17:25:13	2024-11-15 14:00:10				67	Awaiting Analysis	In getInstalledAccessibilityPreferences of AccessibilitySettings.java, there is a possible way to hide an enabled accessibility service in the accessibility service settings due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.										0.00043	2024-11-14 23:48:16	0.10146	1			2	1	1	8.4		8.4		2024-11-14 19:50:05	2.5	5.9																		
1224	Google	19997	Android	1771432	cpe:2.3:o:google:android:14:*:*:*:*:*:*:*		security@android.com	Android (associated with Google Inc. or Open Handset Alliance)	202400043086	CVE-2024-43086	2024	2024-11-13 17:25:13	2024-11-15 14:00:10				67	Awaiting Analysis	In validateAccountsInternal of AccountManagerService.java, there is a possible way to leak account credentials to a third party app due to a confused deputy. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.										0.00043	2024-11-14 23:48:16	0.10146	1			2	1	1	5.5		5.5		2024-11-14 16:49:18	1.8	3.6																1		
1224	Google	19997	Android	1771432	cpe:2.3:o:google:android:14:*:*:*:*:*:*:*		security@android.com	Android (associated with Google Inc. or Open Handset Alliance)	202400043085	CVE-2024-43085	2024	2024-11-13 17:25:13	2024-11-15 14:00:10				67	Awaiting Analysis	In handleMessage of UsbDeviceManager.java, there is a possible method to access device contents over USB without unlocking the device due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.										0.00043	2024-11-14 23:48:16	0.10146	1			2	1	1	7.8		7.8		2024-11-14 16:49:18	1.8	5.9																		
